time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447850000	20.339	11.0487	4.74114	1.37444	0.424895	radar	5.41835	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3686	11.3022	4.77167	1.40226	0.429928	lidar	0.290486	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.3449	11.5068	4.51295	1.44496	0.450028	radar	13.1617	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.4014	11.775	4.60675	1.46401	0.447888	lidar	3.87162	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.4218	12.0108	4.6939	1.48389	0.443962	radar	3.09827	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.4071	12.3175	4.82315	1.52257	0.456764	lidar	2.41187	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3792	12.5254	4.62098	1.55995	0.471439	radar	5.06534	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3919	12.7859	4.68083	1.58223	0.470748	lidar	1.20565	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3872	13.0006	4.60166	1.60647	0.472512	radar	2.04472	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3478	13.2246	4.58832	1.63793	0.478239	lidar	1.39377	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.3159	13.447	4.57132	1.66575	0.481227	radar	1.52144	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2839	13.7297	4.68246	1.69467	0.485311	lidar	1.59088	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.2402	13.9395	4.58609	1.72508	0.491851	radar	1.39615	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1761	14.2168	4.69274	1.7588	0.499059	lidar	1.11199	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.1121	14.4337	4.64966	1.79005	0.504552	radar	1.88636	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.999	14.7095	4.76555	1.83322	0.518263	lidar	3.00923	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.9325	14.9197	4.73753	1.85874	0.517221	radar	3.0166	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8881	15.1498	4.73574	1.87706	0.511677	lidar	1.08211	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7862	15.3354	4.52099	1.92445	0.536146	radar	10.4823	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.745	15.532	4.47178	1.94017	0.527823	lidar	1.56179	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6602	15.7225	4.42751	1.96867	0.529943	radar	1.23102	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5454	15.9555	4.50437	2.00118	0.534649	lidar	0.507524	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4444	16.1566	4.52141	2.02715	0.532619	radar	1.43508	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.3282	16.3444	4.50402	2.05861	0.536078	lidar	0.694986	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.2177	16.532	4.47133	2.08876	0.539854	radar	0.385861	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0731	16.7632	4.57361	2.12105	0.544077	lidar	0.699386	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.9317	16.9496	4.51567	2.16418	0.562979	radar	8.45206	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.7397	17.2158	4.73231	2.20074	0.569783	lidar	2.8904	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.6216	17.4167	4.76626	2.21318	0.551829	radar	4.16373	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3979	17.627	4.89182	2.25827	0.564869	lidar	5.08665	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2522	17.8174	4.90222	2.27763	0.554292	radar	2.08825	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.1136	18.0013	4.87417	2.29971	0.550148	lidar	0.594867	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9421	18.1571	4.83056	2.3358	0.558984	radar	2.08167	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
